62.2675,25.7948,0
62.2674,25.7947,205
62.2673,25.7946,205
62.2673,25.7946,0
62.2672,25.7945,205
62.2671,25.7944,205
62.2670,25.7943,205
62.2669,25.7942,205
62.2668,25.7941,205
62.2668,25.7941,0
62.2667,25.7940,205
62.2665,25.7938,205
62.2664,25.7936,223
62.2663,25.7933,234
62.2663,25.7930,270
62.2662,25.7926,242
62.2662,25.7923,270
62.2661,25.7919,242
62.2660,25.7917,223
62.2660,25.7915,270
62.2659,25.7912,234
62.2658,25.7910,223
62.2657,25.7909,205
62.2656,25.7908,205
62.2655,25.7908,180
62.2654,25.7909,155
62.2652,25.7910,167
62.2650,25.7912,155
62.2649,25.7913,155
62.2647,25.7915,155
62.2645,25.7916,167
62.2644,25.7917,155
62.2642,25.7919,155
62.2641,25.7922,126
62.2641,25.7926,90
62.2641,25.7929,90
62.2642,25.7933,62
62.2642,25.7936,90
62.2643,25.7938,43
62.2643,25.7941,90
62.2644,25.7944,54
62.2644,25.7947,90
62.2645,25.7949,43
62.2645,25.7952,90
62.2646,25.7955,54
62.2646,25.7958,90
62.2647,25.7962,62
62.2648,25.7965,54
62.2648,25.7968,90
62.2649,25.7972,62
62.2649,25.7976,90
62.2648,25.7979,126
62.2647,25.7984,113
62.2647,25.7987,90
62.2645,25.7987,180
62.2643,25.7984,215
62.2642,25.7983,205
62.2641,25.7982,205
62.2640,25.7981,205
62.2639,25.7979,223
62.2638,25.7977,223
62.2636,25.7973,223
62.2634,25.7970,215
62.2631,25.7963,227
62.2629,25.7959,223
62.2628,25.7955,242
62.2626,25.7951,223
62.2625,25.7948,234
62.2624,25.7943,247
62.2622,25.7936,239
62.2621,25.7930,250
62.2620,25.7923,253
62.2618,25.7916,239
62.2617,25.7908,255
62.2616,25.7900,255
62.2614,25.7894,234
62.2613,25.7886,255
62.2612,25.7879,253
62.2611,25.7873,250
62.2609,25.7865,242
62.2608,25.7858,253
62.2607,25.7853,247
62.2606,25.7848,247
62.2605,25.7843,247
62.2604,25.7839,242
62.2603,25.7835,242
62.2602,25.7831,242
62.2602,25.7829,270
62.2602,25.7826,270
62.2602,25.7824,270
62.2602,25.7822,270
62.2602,25.7820,270
62.2602,25.7818,270
62.2602,25.7815,270
62.2602,25.7813,270
62.2602,25.7810,270
62.2602,25.7808,270
62.2602,25.7806,270
62.2602,25.7804,270
62.2602,25.7802,270
62.2602,25.7799,270
62.2603,25.7796,306
62.2604,25.7793,306
62.2604,25.7791,270
62.2603,25.7789,223
62.2602,25.7789,180
62.2601,25.7790,155
62.2599,25.7790,180
62.2598,25.7789,205
62.2596,25.7789,180
62.2594,25.7788,193
62.2593,25.7786,223
62.2591,25.7786,180
62.2588,25.7785,189
62.2587,25.7784,205
62.2585,25.7784,180
62.2582,25.7783,189
62.2581,25.7782,205
62.2579,25.7782,180
62.2578,25.7781,205
62.2574,25.7779,193
62.2571,25.7778,189
62.2566,25.7776,191
62.2563,25.7775,189
62.2557,25.7772,193
62.2554,25.7771,189
62.2550,25.7770,187
62.2546,25.7768,193
62.2543,25.7767,189
62.2540,25.7769,163
62.2539,25.7769,180
62.2539,25.7768,270
62.2538,25.7767,205
62.2538,25.7765,270
62.2537,25.7764,205
62.2536,25.7762,223
62.2535,25.7760,223
62.2534,25.7759,205
62.2525,25.7741,223
62.2523,25.7736,229
62.2521,25.7732,223
62.2518,25.7728,212
62.2516,25.7723,229
62.2515,25.7720,234
62.2513,25.7715,229
62.2510,25.7709,223
62.2509,25.7704,247
62.2508,25.7700,242
62.2506,25.7695,229
62.2505,25.7690,247
62.2504,25.7686,242
62.2503,25.7680,250
62.2501,25.7673,239
62.2501,25.7671,270
62.2501,25.7670,270
62.2501,25.7669,270
